"scenario_id","n","p","rho","error","method","median_beta_mse","trace_var_slope","bias2","variance","emse","sign_flip_rate","rank_kendall","median_signal_rmse","median_test_rmse","ratio_ols_med","ratio_ols_lo","ratio_ols_hi","ratio_ols_p","ratio_rtecv_med","ratio_rtecv_lo","ratio_rtecv_hi","ratio_rtecv_p","boundary_hit_frac","median_k","median_g","ok_rate","pmm3_conv_rate","est_version","phase","g_mode","reps","test_n","B_boot","delta_main","seed_base","generated"
"n100_p12_rho0.90_exponential",100,12,0.9,"exponential","OLS",0.0514081237169807,0.677002965786723,0.000716879446914676,0.677002965786723,0.677719845233637,0.107666666666667,NA,0.372006808848249,1.06836568239724,1,1,1,NA,6.9555751545214,6.45856597052111,7.3845824057699,3.33085578663341e-165,NA,NA,NA,1,NA,"0.5.0-pmmrte","final","deployable",1000,5000,150,0.03,20260612,"2026-06-27 10:00:25 EEST"
"n100_p12_rho0.90_exponential",100,12,0.9,"exponential","PMM2",0.0300913157876362,20.3819242435498,0.0186998788300192,20.3819242435498,20.4006241223799,0.0706666666666667,NA,0.291959244708603,1.04537558850657,0.584253582230566,0.562198474138887,0.612190367348057,3.0196587358187e-54,3.98971222620975,3.59383688737497,4.27018782878187,8.59266298513334e-87,NA,NA,NA,1,NA,"0.5.0-pmmrte","final","deployable",1000,5000,150,0.03,20260612,"2026-06-27 10:00:25 EEST"
"n100_p12_rho0.90_exponential",100,12,0.9,"exponential","Ridge_CV",0.00750866191816983,0.199852583503137,0.00129267079514365,0.199852583503137,0.20114525429828,0.0228333333333333,NA,0.2407203866594,1.03202245347409,0.142282790347685,0.13638418407904,0.148713194384574,3.33085578663341e-165,1.09751408944757,1.09394930508546,1.10100908585117,7.47244657812836e-28,NA,31.6227766016838,1,1,NA,"0.5.0-pmmrte","final","deployable",1000,5000,150,0.03,20260612,"2026-06-27 10:00:25 EEST"
"n100_p12_rho0.90_exponential",100,12,0.9,"exponential","Ridge_Stable",0.00486264307653062,0.0966161691498562,0.00246103412425792,0.0966161691498562,0.0990772032741141,0.00675,NA,0.23352735715078,1.02971947082567,0.112357318162777,0.108804674421357,0.114863270801214,3.33085578663341e-165,0.651144488552936,0.616069229465232,0.701700619772312,1.97601400150425e-74,NA,31.6227766016838,1,1,NA,"0.5.0-pmmrte","final","deployable",1000,5000,150,0.03,20260612,"2026-06-27 10:00:25 EEST"
"n100_p12_rho0.90_exponential",100,12,0.9,"exponential","PMM2_Ridge_CV",0.00509238080068531,0.749426536885468,0.00319762752625352,0.749426536885468,0.752624164411722,0.0146666666666667,NA,0.2237624246636,1.02767491948307,0.113723705331757,0.100344984292272,0.122840122307202,1.95880325879203e-148,0.666665385261226,0.634192652531991,0.72108051416493,4.64319476699111e-22,NA,31.6227766016838,1,1,NA,"0.5.0-pmmrte","final","deployable",1000,5000,150,0.03,20260612,"2026-06-27 10:00:25 EEST"
"n100_p12_rho0.90_exponential",100,12,0.9,"exponential","PMM2_Ridge_Stable",0.00316276523144133,0.544456330781246,0.00524508306697389,0.544456330781246,0.54970141384822,0.00625,NA,0.223305167686284,1.02786485234345,0.0663814989431129,0.0619467281561055,0.0716269407894828,1.73107510720722e-155,0.440493923952189,0.401250595251919,0.475850101368436,1.80302946842383e-76,NA,31.6227766016838,1,1,NA,"0.5.0-pmmrte","final","deployable",1000,5000,150,0.03,20260612,"2026-06-27 10:00:25 EEST"
"n100_p12_rho0.90_exponential",100,12,0.9,"exponential","RTE_CV",0.00727931999429735,0.19793770246907,0.00124108249082012,0.19793770246907,0.19917878495989,0.0220833333333333,NA,0.238109725518701,1.03153681311986,0.143769628885003,0.135005432914669,0.155267919697706,3.33085578663341e-165,1,1,1,NA,0.837,31.6227766016838,0,1,NA,"0.5.0-pmmrte","final","deployable",1000,5000,150,0.03,20260612,"2026-06-27 10:00:25 EEST"
"n100_p12_rho0.90_exponential",100,12,0.9,"exponential","RTE_Stable",0.00437237255556396,0.0799393611688487,0.00262737839756575,0.0799393611688487,0.0825667395664145,0.00425,NA,0.227380833985054,1.02852596172067,0.100758588655657,0.0973775786659796,0.10359943297984,3.33085578663341e-165,0.556531855979141,0.51473671627706,0.600619556810685,6.42423808314871e-108,0.94,31.6227766016838,0,1,NA,"0.5.0-pmmrte","final","deployable",1000,5000,150,0.03,20260612,"2026-06-27 10:00:25 EEST"
"n100_p12_rho0.90_exponential",100,12,0.9,"exponential","PMM2_RTE_CV",0.00523125096905352,0.905861472145166,0.00331461326594128,0.905861472145166,0.909176085411108,0.0148333333333333,NA,0.221653483202001,1.02660288983223,0.112949468250703,0.0999071617656717,0.125671275936319,4.28140259417977e-149,0.664846522971145,0.620214045521849,0.706340158764147,8.05547550686023e-25,0.83,31.6227766016838,0,1,NA,"0.5.0-pmmrte","final","deployable",1000,5000,150,0.03,20260612,"2026-06-27 10:00:25 EEST"
"n100_p12_rho0.90_exponential",100,12,0.9,"exponential","PMM2_RTE_Stable",0.00283189520116997,0.49095791916961,0.00545363924208584,0.49095791916961,0.496411558411696,0.00533333333333333,NA,0.222561407170422,1.02751150124947,0.0598755865799694,0.0558859117543013,0.0644740584090866,1.12475914867298e-156,0.393417630749823,0.362824526707351,0.428463335211975,5.35150027150449e-91,0.965,31.6227766016838,0,1,NA,"0.5.0-pmmrte","final","deployable",1000,5000,150,0.03,20260612,"2026-06-27 10:00:25 EEST"
